cluster;id;author;volume;title;institution;venue;address;publisher;year;pages;editor;note;month;class
0;18462;" M Ahlskog J Paloheimo H Stubb P Dyreklev M Fahlman O Inganas and MR   Andersson ";" 76 ";;;;;;1994;"893 ";;;;"ahlskog1994a  "
0;18463;" M Ahlskog J Paloheimo H Stubb P Dyreklev M Fahlman O  Inganas and MR  Andersson ";" 76 ";;;;;;1994;"893 ";;;;"ahlskog1994a  "
0;18480;" B Buth et al ";;" Provably Correct Compiler Implementation ";;" Compiler Construction ";;;1992;" pp 141155 ";" in U Karstens and P Pfahler eds ";;;"buth1992a 6 "
0;18481;" B Buth et al ";;" Provably Correct Compiler Implementation ";;" Compiler Construction ";;;1992;" pp 141155 ";" in U Karstens and P Pfahler eds ";;;"buth1992a 6 "
0;18490;" Dempster A Laird N and Rubin D ";" 39 ";" Maximum likelihood from incomplete data via the EM algorithm ";;;;;1977;" 138 ";;;;"dempster1977a "
0;18492;" M Dill and M ";;" Fahle <date>1997a</date> Limited Translation Invariance of Human Visual Pattern Recognition ";;;;;1997a;;;;;"dill1997a "
0;18503;" Fahle M Edelman S and Poggio T ";" 35 ";" Fast perceptual learning in hyperacuity ";;;;;1995;" 30033013 ";;;;"fahle1995a "
0;18504;" Fahle M Edelman S and Poggio T ";" 35 ";" Fast perceptual learning in hyperacuity ";;;;;1995;" 30033013 ";;;;"fahle1995a "
0;18509;" Lennart E Fahlen Charles Grant Brown Olov Stahl and Christer Carlsson ";;" A space based model for user interaction in shared synthetic environments ";;" In Proceedings of Interchi 93 ";;;" 1993 ";" pages 4348 ";;;" April ";"fahlen1993a  "
0;18510;" Lennart E Fahlen Charles Grant Brown Olov Stahl and Christer Carlsson ";;" A space based model for user interaction in shared synthetic environments ";;" In Proceedings of Interchi 93 ";;;" 1993 ";" pages 4348 ";;;" April ";"fahlen1993a  "
0;18511;" Lennart E Fahlen Charles Grant Brown Olov Stahl and Christer Carlsson ";;" A space based model for user interaction in shared synthetic environments ";;" In Proceedings of Interchi 93 ";;;" 1993 ";" pages 4348 ";;;" April ";"fahlen1993a  "
0;18512;" Lennart E Fahlen Charles Grant Brown Olov Stahl and Christer Carlsson ";;" A space based model for user interaction in shared synthetic environments ";;" In Proceedings of Interchi 93 ";;;" 1993 ";" pages 4348 ";;;" April ";"fahlen1993a  "
0;18514;" S Fahlman ";" vol 5 ";" ""A planning system for robot construction tasks"" ";;;;;1974;" pp 149 ";;;;"fahlman1974a 25 "
0;18516;" Scott Elliott Fahlman ";" 51 ";" A planning system for robot construction tasks ";;;;;1974;" 149 ";;;;"fahlman1974a 6 "
0;18518;" Fahlman S E ";" 5 1 ";" A Planning System for Robot Construction Tasks ";;;;;1974;" 149 ";;;;"fahlman1974a "
0;18520;" S E Fahlman ";" 5 ";" A planning system for robot construction tasks ";;;;;1974;" 149 ";;;;"fahlman1974a  "
0;18521;" S E Fahlman ";" 5 ";" A planning system for robot construction tasks ";;;;;1974;" 149 ";;;;"fahlman1974a  "
0;18522;" SE Fahlman ";" 5 ";" A planning system for robot construction tasks ";;;;;1974;" 149 ";;;;"fahlman1974a  "
0;18523;" S Fahlman ";" 5 ";" A planning system for robot construction tasks ";;;;;1974;" 149 ";;;;"fahlman1974a  "
